folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Medical History/Medications,med_statin,Statins,,choices,,noyes01,,,,
Medical History/Medications,med_statin_sueno,Statins,,choices,,noyes01,,,,
Medical History,mets_idf,Metabolic Syndrome - IDF definition,"The International Diabetes Federation (IDF) definition emphasizes central obesity because it is 'independently' associated with each of the other metabolic syndrome components, as well as insulin resistance.",choices,,noyes01,,,,
Medical History,mets_ncep,Metabolic Syndrome - NCEP ATP III,The following definition of metabolic syndrome is based on the updated Adult Treat Panel III (ATP III) of the National Cholesterol Education Program (NCEP) guidelines.,choices,,noyes01,,,,
Medical History,mets_ncep2,Metabolic Syndrome w/Self-Reported Meds - NCEP ATP III,This variable incorporates the original variable mets_ncep definition with changes to include self-reported medication use instead of scanned/transcribed medication use.,choices,,noyes01,,,,
Medical History,mhea1,HBP/Hypertension - Self (MHEA1),,choices,,noyes01,,,,
Medical History,mhea10,Stroke - Self (MHEA10),,choices,,noyes01,,,,
Family History,mhea10a,Stroke - Mother (MHEA10A),,choices,,noyes01,,,,
Family History,mhea10b,Stroke - Father (MHEA10B),,choices,,noyes01,,,,
Family History,mhea10c,Stroke - Sibling (MHEA10C),,choices,,noyes01,,,,
Medical History,mhea11,Mini-Stroke/TIA - Self (MHEA11),,choices,,noyes01,,,,
Medical History,mhea12,Angiop/surgery art of neck (MHEA12),,choices,,noyes01,,,,
Medical History,mhea13,Aortic Aneurism/AAA - Self (MHEA13),,choices,,noyes01,,,,
Family History,mhea13a,Aortic Aneurism/AAA - Mother (MHEA13A),,choices,,noyes01,,,,
Family History,mhea13b,Aortic Aneurism/AAA - Father (MHEA13B),,choices,,noyes01,,,,
Family History,mhea13c,Aortic Aneurism/AAA - Sibling (MHEA13C),,choices,,noyes01,,,,
Medical History,mhea14,PAD - Self (MHEA14),,choices,,noyes01,,,,
Medical History,mhea15,Med Procedure to treat PAD (MHEA15),,choices,,noyes01,,,,
Family History,mhea15a,PAD - Mother (MHEA15A),,choices,,noyes01,,,,
Family History,mhea15b,PAD - Father (MHEA15B),,choices,,noyes01,,,,
Family History,mhea15c,PAD - Sibling (MHEA15C),,choices,,noyes01,,,,
Medical History,mhea16,Diabetes - Self (MHEA16),,choices,,noyes01,,,,
Medical History,mhea16a,Diabetes - Age Diagnosed Self (MHEA16A),,integer,years,,,,,
Medical History,mhea16b,Diabetes - Pregnancy Self (MHEA16B),,choices,,noyes01,,,,
Medical History,mhea16c,Diabetes - Insulin TrtSelf (MHEA16C),,choices,,noyes01,,,,
Medical History,mhea16d,Diabetes - Insulin Trt for Diab Self (MHEA16D),,choices,,noyes01,,,,
Family History,mhea16e,Diabetes - Mother (MHEA16E),,choices,,noyes01,,,,
Family History,mhea16f,Diabetes - Father (MHEA16F),,choices,,noyes01,,,,
Family History,mhea16g,Diabetese - Sibling (MHEA16G),,choices,,noyes01,,,,
Medical History,mhea17,Kidney Problems - Self (MHEA17),,choices,,noyes01,,,,
Medical History,mhea18,Liver Disease - Self (MHEA18),,choices,,noyes01,,,,
Medical History,mhea18a,Hepatitis - Self (MHEA18A),,choices,,noyes01,,,,
Medical History,mhea18b,Hepatitis Type - Self (MHEA18B),,choices,,hepatitis_type,,,,
Medical History,mhea18c,Cirrhosis - Self (MHEA18C),,choices,,noyes01,,,,
Medical History,mhea18d,Other Liver Disease - Self (MHEA18D),,choices,,noyes01,,,,
Medical History,mhea19,Heartburn/similar chest pain (MHEA19),,choices,,noyes01,,,,
Medical History,mhea19a,How often Heartburn/similar chest pain (MHEA19A),,choices,,monthly_freq,,,,
Medical History,mhea1a,HBP/Hyperten - Self while pregnant (MHEA1A),,choices,,noyes01,,,,
Family History,mhea1b,HBP/Hypertension - Mother (MHEA1B),,choices,,noyes01,,,,
Family History,mhea1c,HBP/Hypertension - Father (MHEA1C),,choices,,noyes01,,,,
Family History,mhea1d,HBP/Hypertension - Sibling (MHEA1D),,choices,,noyes01,,,,
Medical History,mhea2,High Blood Cholesterol - Self (MHEA2),,choices,,noyes01,,,,
Medical History,mhea20,Acid regurg (MHEA20),,choices,,noyes01,,,,
Medical History,mhea20a,How often Acid regurg (MHEA20A),,choices,,monthly_freq,,,,
Medical History,mhea21,Migraine - Self (MHEA21),,choices,,noyes01,,,,
Family History,mhea21a,Migraine - Mother (MHEA21A),,choices,,noyes01,,,,
Family History,mhea21b,Migraine - Father (MHEA21B),,choices,,noyes01,,,,
Family History,mhea21c,MIgraine - Brother(s) or Sister(s) (MHEA21C),,choices,,noyes01,,,,
Medical History,mhea22,Clot in leg/lung req thinners - Self (MHEA22),,choices,,noyes01,,,,
Medical History,mhea23,Pain swell of jts lim act (MHEA23),,choices,,noyes01,,,,
Family History,mhea23a,Pain swell of jts - Mother (MHEA23A),,choices,,noyes01,,,,
Family History,mhea23b,Pain swell of jts - Father (MHEA23B),,choices,,noyes01,,,,
Family History,mhea23c,Pain swell of jts - Sibling (MHEA23C),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea24,Sleep Disorder - Self (MHEA24),,choices,,noyesdk,,,,
Sleep Questionnaires/Sleep Disorder,mhea25a,Insomnia - Self (MHEA25A),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea25b,Restless Legs - Self (MHEA25B),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea25c,Narcolepsy - Self (MHEA25C),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea25d,Apnea - Self (MHEA25D),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea25d1,Apnea - CPAP/BPAP/Other (MHEA25D1),,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Disorder,mhea25e,Other Sleep Disorder - Self (MHEA25E),,choices,,noyes01,,,,
Medical History,mhea26,Cancer/Malignant Tumor - Self (MHEA26),,choices,,noyes01,,,,
Medical History,mhea26a1,Cancer/ Lung - Self (MHEA26A1),,choices,,noyes01,,,,
Medical History,mhea26a10,Cancer/ Stomach - Self (MHEA26A10),,choices,,noyes01,,,,
Medical History,mhea26a11,Cancer/ Colon - Self (MHEA26A11),,choices,,noyes01,,,,
Medical History,mhea26a12,Cancer/ Uterine - Self (MHEA26A12),,choices,,noyes01,,,,
Medical History,mhea26a13,Cancer/ Prostate - Self (MHEA26A13),,choices,,noyes01,,,,
Medical History,mhea26a14,Cancer/ Liver - Self (MHEA26A14),,choices,,noyes01,,,,
Medical History,mhea26a15,Cancer/ Other - Self (MHEA26A15),,choices,,noyes01,,,,
Medical History,mhea26a2,Cancer/ Breast - Self (MHEA26A2),,choices,,noyes01,,,,
Medical History,mhea26a3,Cancer/ Cervical - Self (MHEA26A3),,choices,,noyes01,,,,
Medical History,mhea26a4,Cancer/ Blood/lymph glands - Self (MHEA26A4),,choices,,noyes01,,,,
Medical History,mhea26a5,Cancer/ Testes/scrotum - Self (MHEA26A5),,choices,,noyes01,,,,
Medical History,mhea26a6,Cancer/ Bone - Self (MHEA26A6),,choices,,noyes01,,,,
Medical History,mhea26a7,Cancer/ Melanoma - Self (MHEA26A7),,choices,,noyes01,,,,
Medical History,mhea26a8,Cancer/ Skin (not mel) - Self (MHEA26A8),,choices,,noyes01,,,,
Medical History,mhea26a9,Cancer/ Brain - Self (MHEA26A9),,choices,,noyes01,,,,
Family History,mhea26b,Cancer/Malig Tumor - Mother (MHEA26B),,choices,,noyes01,,,,
Family History,mhea26c,Cancer/Malig Tumor - Father (MHEA26C),,choices,,noyes01,,,,
Family History,mhea26d,Cancer/Malig Tumor - Sibling (MHEA26D),,choices,,noyes01,,,,
Medical History/Reproductive  Health,mhea27,Age Menses Began (MHEA27),,integer,years,,,,,
Medical History/Reproductive  Health,mhea28,Currently Have Menstrual Periods (MHEA28),,choices,,noyesdk,,,,
Medical History/Reproductive  Health,mhea29,Ever Had Hysterectomy (MHEA29),,choices,,ever_hysterectomy,,,,
Family History,mhea2a,High Blood Cholesterol - Mother (MHEA2A),,choices,,noyes01,,,,
Family History,mhea2b,High Blood Cholesterol - Father (MHEA2B),,choices,,noyes01,,,,
Family History,mhea2c,High Blood Cholesterol - Sibling (MHEA2C),,choices,,noyes01,,,,
Medical History,mhea3,Angina - Self (MHEA3),,choices,,noyes01,,,,
Medical History/Reproductive  Health,mhea30,Age at hysterectomy Surgery (MHEA30),,integer,years,,,,,
Medical History/Reproductive  Health,mhea31,Menopause Reached (MHEA31),,choices,,noyesdk,,,,
Medical History/Reproductive  Health,mhea32,Age Menopause Reached (MHEA32),,integer,years,,,,,
Medical History/Reproductive  Health,mhea33,Currently Pregnant (MHEA33),,choices,,noyes01,,,,
Medical History/Reproductive  Health,mhea34,Ever been pregnant (MHEA34),,choices,,noyes01,,,,
Medical History/Reproductive  Health,mhea35,Number of times pregnant (MHEA35),,integer,years,,,,,
Medical History/Reproductive  Health,mhea36,Number of Live Births (MHEA36),,integer,years,,,,,
Medical History/Reproductive  Health,mhea37,Birth Control Medication (MHEA37),,choices,,noyes01,,,,
Medical History/Reproductive  Health,mhea38,Fem Hor Med (NOT BC) (MHEA38),,choices,,noyesdk,,,,
Medical History/Reproductive  Health,mhea39,Fem horm taken to supl nat horm (MHEA39),,choices,,noyes01,,,,
Medical History,mhea3a,Angina - Age (MHEA3A),,integer,years,,,,,
Family History,mhea3b,Angina - Mother (MHEA3B),,choices,,noyes01,,,,
Family History,mhea3c,Angina - Father (MHEA3C),,choices,,noyes01,,,,
Family History,mhea3d,Angina - Sibling (MHEA3D),,choices,,noyes01,,,,
Medical History,mhea4,Heart Attack - Self (MHEA4),,choices,,noyes01,,,,
Medical History,mhea4a,Heart Attack - Age Self (MHEA4A),,integer,years,,,,,
Family History,mhea4b1,Heart Attack - Mother (MHEA4B1),,choices,,noyes01,,,,
Family History,mhea4b2,Heart Attack - Age Mother (MHEA4B2),,integer,years,,,,,
Family History,mhea4c1,Heart Attack - Father (MHEA4C1),,choices,,noyes01,,,,
Family History,mhea4c2,Heart Attack - Age Father (MHEA4C2),,integer,years,,,,,
Family History,mhea4d1,Heart Attack - Sibling (MHEA4D1),,choices,,noyes01,,,,
Family History,mhea4d2,Heart Attack - Age Sibling (MHEA4D2),,integer,years,,,,,
Medical History,mhea5,Heart Failure - Self (MHEA5),,choices,,noyes01,,,,
Family History,mhea5a,Heart Failure - Mother (MHEA5A),,choices,,noyes01,,,,
Family History,mhea5b,Heart Failure - Father (MHEA5B),,choices,,noyes01,,,,
Family History,mhea5c,Heart Failure - Sibling (MHEA5C),,choices,,noyes01,,,,
Medical History,mhea6,Rheu HD - Self (MHEA6),,choices,,noyes01,,,,
Family History,mhea6a,Rheu HD - Mother (MHEA6A),,choices,,noyes01,,,,
Family History,mhea6b,Rheu HD - Father (MHEA6B),,choices,,noyes01,,,,
Family History,mhea6c,Rheumatic HD - Sibling (MHEA6C),,choices,,noyes01,,,,
Medical History,mhea7,Atrial Fibrilation - Self (MHEA7),,choices,,noyes01,,,,
Medical History,mhea8,Other heart problem - Self (MHEA8),,choices,,noyes01,,,,
Medical History,mhea9,Angioplasty/bypass - Self (MHEA9),,choices,,noyes01,,,,
Family History,mhea9a,Angiop/bypass - Mother (MHEA9A),,choices,,noyes01,,,,
Family History,mhea9b,Angiop/bypass - Father (MHEA9B),,choices,,noyes01,,,,
Family History,mhea9c,Angiop/bypass - Sibling (MHEA9C),,choices,,noyes01,,,,
Medical History,mi_ecg,MI defined by ECG results,This variable checks some ECG measures to detect possible old MIs.,choices,,noyes01,,,,
Sleep Questionnaires/Sleep Habits,mid_sleep_time_wkday_sueno,"Weekday average of bedtime and wakeup time, in hours",,numeric,hours,,,,,
Sleep Questionnaires/Sleep Habits,mid_sleep_time_wkend_sueno,"Weekend average of bedtime and wakeup time, in hours",,numeric,hours,,,,,
Clinical Data/Diagnostic Studies/Lung Function,mrc_cb,Chronic Productive Cough 3+ mths in 2+ yrs,,choices,,noyes01,,,,
Demographics/Employment,n_hc,Health Insurance Coverage - Current,This variable groups the health insurance coverage status of the participant. The definition also checks whether or not any reason was giving for stopping coverage.,choices,,noyes01,,,,
Demographics/Acculturation,nativity_subscore_mesa,Nativity Subscore - MESA,This is a nativity subscore of the acculturation score similar to the one used in MESA.,choices,,nativity,,,,
General Health/Neighborhood Social Cohesion Scale (NSC),neighbor_cohesion_cnt_sueno,"Neighborhood Social Cohesion Scale, non-missing items count",,numeric,,,,,,
General Health/Neighborhood Social Cohesion Scale (NSC),neighbor_cohesion_sueno,Neighborhood Social Cohesion Scale,,numeric,,,,,,
General Health/Neighborhood Social Cohesion Scale (NSC),neighbor_problem_cnt_sueno,"Neighborhood Problem Scale, non-missing item count",,numeric,,,,,,
General Health/Neighborhood Social Cohesion Scale (NSC),neighbor_problem_sueno,Neighborhood Problem Score,,numeric,,,,,,
Clinical Data/Diagnostic Studies/Neurocognitive,no_disability_6item,No Diability on NEEA5-7,,choices,,noyes01,,,,
Administrative,np_permit,Permission for non-profit use of data,This variable determines whether or not a study participant gave permission for non-profit use of study data.,choices,,use_permitted,,,,
Demographics/Employment,occupation_curr,Current Occupation (collapsed categories),This variable is the type of occupation the participant had at the time of the baseline examination.,choices,,occupation,,,,
Demographics/Employment,occupation_long,Longest Held Occupation (collapsed categories),This variable is the type of occupation the participant has held the longest.,choices,,occupation,,,,
Medical History,perio_cdc_aap,Periodontitis Severity using CDC/AAP Grades,"The HCHS/SOL used a comprehensive full mouth examination protocol examining six sites per tooth in up to 28 teeth yielding up to 168 sites per person. For the purpose of this study, four outcome measures were reported based on the Centers for Disease Control and Prevention and the American Academy of Periodontology (CDC/AAP) case definition of periodontitis at four severity thresholds. These classifications are designed for population-based surveillance of periodontal disease and are based on measures of clinical periodontal clinical attachment level (CAL) and probing pocket depth (PD).",choices,,perio_grade,,,,
Medical History,perio_extent,Percentage Interproximal Sites Positive for Periodontitis,This is an additional method of describing the extent of disease in the mouth.,numeric,percent,,,,,
Medical History,periodontal_disease,Periodontal Disease - NIDCR,The NIDCR cites the prevalence of periodontal disease based on dental examination probing measurements. To be classified as having periodontal disease there is at least one toother with Attachment Loss (AL) 3mm or greater and Pocket Depth (PD) 4mm or greater.,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,phlegm,Phlegm day/night 3 months in a row,,choices,,noyes01,,,,
Administrative,pid,Random BioLINCC ID for LAD,,identifier,,,,,TRUE,
Clinical Data/Diagnostic Studies/Lung Function,pneumonia,Pneumonia,,choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,postbd_expected,Post-BD Expected (among valid spirometry,"This variable is a flag for whether a post bronchodilator was expected, based on the premeasurement.  A post measurement was expected if the FEV1 to FVC ratio was less than 70% or less than the lower limit of normal for FEV1/FVC%.",choices,,noyes01,,,,
Clinical Data/Diagnostic Studies/Lung Function,postbd_prebd_diff,Post(FEV1%pred)-Pre(FEV1%pred),"This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examinations must be valid).",numeric,,,,,,
Clinical Data/Diagnostic Studies/Lung Function,postbd_prebd_diff_gt12_v2,Post(FEV1%pred)-Pre(FEV1%pred)>=12% (pre FEV1/FVC<70 only),"This variable is based on the ratio of the measured FEV1 difference from postbronchodilator and pre-bronchodilator exams over the Predicted FEV1 calculated prebronch (both values must be non-missing, and the post-bronchodilator spirometry examination must be valid) among participants with pre FEV1/FVC<70 only (ignores LLN comparison).",numeric,,,,,,
Medical History,prechd_angina,"Prevalent Coronary Heart Disease, including self-report","This variable combines ECG reports of possible old MI as well as self-report of angina, heart attack, or procedure (angioplasty, stent, bypass).",choices,,noyes01,,,,
Medical History,prechd_no_angina,Prevalent Coronary Heart Disease,"This variable combines ECG reports of possible old MI as well as self-report of heart attack, or procedure (angioplasty, stent, bypass).",choices,,noyes01,,,,
Lifestyle and Behavioral Health,pred_alc,"Alcohol - NCI predicted intake, servings/d (ALCOHOL)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_epadha,"EPA and DHA - NCI predicted intake, mg/d (EPADHA)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_fruit_whl,"Whole Fruit - NCI predicted intake, servings/d (FRUIT_ALL_WOJUICE)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_grain_whl,"Whole Grain - NCI predicted intake, servings/d (GRAIN_WHL)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_nutleg,"Nuts and Legumes - NCI predicted intake, servings/d (NUTLEG)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_pctpufa,"PUFA exclude EPA & DHA - NCI predicted intake, % Calories (PCTPUFA_NOEPADHA)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_redprocess,"Red/Processed Meat - NCI predicted intake, servings/d (MEAT_REDPROCESSED)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_sodium,"Sodium - NCI predicted intake, mg/d (DTIA67)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_swebj,"Sugar-sweentened beverages and fruit juice - NCI predicted intake, servings/d (SUGAR_SWTBFJ)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_transfat,"Trans Fat - NCI predicted intake, % Calories (PCTRANSFAT)",,numeric,,,,,,
Lifestyle and Behavioral Health,pred_veg_wopot,"Vegetable without potatoes - NCI predicted intake, servings/d (VEG_ALL_WOPOTATO)",,numeric,,,,,,
Administrative/Study Design,psu_cnt,BG-level Hispanic Household Frame Counts,This variable is the sample design clustering household frame count variable used in statistical analyses.,numeric,,,,,,
Administrative/Study Design,psu_id,Primary Sampling Unit ID,This variable is the sample design clustering variable used in statistical analyses as the cluster variable that is combination of the field center and selected block group identifier.,numeric,,,,,,
Demographics/Acculturation,race,Race Group (self-report),The self-identification with a race group.,choices,,race,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,right_abi,Right Ankle Branchial Index (occ. failure incl.),Ankle Brachial Index (ABI) is the average ankle to arm systolic pressures as measured from the left and right sides. The higher of the two ankle measures on the same side is divided by the higher of the two systolic arm pressures to derive the right and left side ABI values.,numeric,,,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,right_abigrp_c4,Right 4-level grouped Ankle Brachial Index (occ. failure incl.),This variable groups left and right ABI into 4 categories.,choices,,abi,,,,
Sleep Questionnaires/Chronotype,rmeq,Reduced Morningness Eveningness Questionnaire Raw Score,,numeric,,,,,,
Sleep Questionnaires/Chronotype,rmeq_c5,5-level grouped Reduced Morningness Eveningness Questionnaire Raw Score,,choices,,rmeq_c5,,,,
Demographics/Acculturation,sash_lang,Short acculturation scale for Hispanics-language subscale,This variable indicates the degree of language acculturation.,numeric,,,,,,
Demographics/Acculturation,sash_soc,SASH ethic social relations subscale,This variable indicates the degree of social acculturation.,numeric,,,,,,
Sleep Monitoring/Actigraphy,sawa10,Total number of valid (good) days on weekdays from actigraphy,,numeric,,,TtlDayVa_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa100,Standard deviation of daily total sleep period during main sleep on weekdays from actigraphy,Sleep period is the interval between sleep onset and sleep offset time.,numeric,minutes,,StdDurSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa101,Average daily total sleep duration in main sleep on weekdays from actigraphy,"Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep. This variable is similar to variable sawa36; however, sawa36 is calculated based on data generated by Actiware software before data cleaning and imputation. ",numeric,minutes,,AvgDurSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa102,Standard deviation of daily sleep duration on weekdays from actigraphy,Sleep duration (i.e. total sleep time) is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,StdPrdSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa103,Average daily sleep onset latency on weekdays from actigraphy,,numeric,minutes,,AvgLatSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa104,Average daily duration of wake after sleep onset (WASO) on weekdays from actigraphy,,numeric,minutes,,AvgDurWs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa105,Average daily duration of wake after sleep offset (snooze time) on weekdays from actigraphy,,numeric,minutes,,AvgDurSz_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa106,Average daily duration of wake in bed on weekdays from actigraphy,,numeric,minutes,,AvgDurWk_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa107,Average daily sleep efficiency on weekdays from actigraphy,"Sleep efficiency is the proportion of sleep duration (i.e. total sleep time, tst) in total rest period (i.e. rest interval) in main sleep. Sleep duration is the interval between sleep onset time and sleep offset time while asleep. In this study, rest interval is the same as in-bed period.",numeric,percent,,AvgEffSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa108,Standard deviation of the daily sleep efficiency on weekdays from actigraphy,"Sleep efficiency is the proportion of sleep duration (i.e. total sleep time, tst) in total rest period (i.e. rest interval) in main sleep. Sleep duration is the interval between sleep onset time and sleep offset time while asleep. In this study, rest interval is the same as in-bed period.",numeric,percent,,StdEffSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa109,Average sleep maintenance efficiency sleep in main sleep on weekdays from actigraphy,"Sleep maintenance efficiency is the ratio between sleep duration (i.e. total sleep time, tst) and sleep period in main sleep. Sleep duration is the interval between sleep onset time and sleep offset time while asleep, while sleep period is the interval between sleep onset time and sleep offset time. <br><br>This variable is similar to variable sawa34; however, sawa34 is derived from Actiware variable sawa24 before data optimization. ",numeric,percent,,AvgMefSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa11,Total number ofvalid days on weekends from actigraphy,,numeric,,,TtlDayVa_ib_w2_f2,,,
Sleep Monitoring/Actigraphy,sawa110,Standard deviation of sleep maintenance efficiency in main sleep on weekdays from actigraphy,"Sleep maintenance efficiency is the ratio between sleep duration (i.e. total sleep time, tst) and sleep period in main sleep. Sleep duration is the interval between sleep onset time and sleep offset time while asleep, while sleep period is the interval between sleep onset time and sleep offset time. <br><br>This variable is similar to variable sawa34; however, sawa34 is derived from Actiware variable sawa24 before data optimization. ",numeric,percent,,StdMefSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa111,Average daily total sleep fragmentation index in main sleep on weekdays from actigraphy,"Sleep Fragmentation is an index of restlessness during the sleep period expressed as a percentage. [Kristen L et al. 2011 (PubMed ID:21411507)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3114508/) <br><br>There are three type of measures for sleep fragmentation: movement Index (MI), fragmentation index (FI), and total sleep fragmentation Index. The fragmentation index refers to the percentage of 60s periods of sleep out of the total number of periods of immobility. The movement index refers to the total of scored awake minutes divided by sleep period (i.e. total time in bed). The total sleep fragmentation index is the sum of FI and MI. (ActiGraph validation reference)[https://actigraphcorp.force.com/support/s/article/Sleep-Fragmentation-Index-Validation-Reference]",numeric,percent,,AvgIndFg_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa112,Average number of sleep bouts (continuous periods of sleep) between sleep onset and sleep offset in main sleep on weekdays from actigraphy,"sleep bouts are continuous blocks, one or more epochs in duration, with each epoch of each block scored as ""sleep"", between the start time and the end time of the given interval.",numeric,,,AvgNumSb_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa113,Average number of wake bouts (continuous periods of wake) between sleep onset and sleep offset in main sleep on weekdays from actigraphy,"Wake bouts is also referred to as ""nocturnal awakenings"". There are always comparable number of wake bouts to sleep bouts.",numeric,,,AvgNumWb_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa114,Total number of days with naps on weekdays from actigraphy,This is the number of weekdays with at least one nap. This refers to the number of weekdays on which a participant reported taking naps. ,numeric,days,,TtlDayNp_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa115,Total number of days with naps of any sleep recorded on weekdays from actigraphy,,numeric,days,,TtlDayNp_ib_w5_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa116,Total number of days with naps of at least 15 minutes in length on weekdays from actigraphy,,numeric,days,,TtlDayNp_ib_w5_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa117,Average number of naps in 24 hours on weekdays from actigraphy,,numeric,naps per weekday,,PdyNumNp_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa118,Average number of naps of any sleep recorded in 24 hours  on weekdays from actigraphy,,numeric,naps per weekday,,AvgNumNp_ib_w5_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa119,Average number of naps of at least 15 minutes in length in 24 hours on weekdays from actigraphy,,numeric,naps per day,,AvgNumNp_ib_w5_npge15_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa12_days,Days since main study baseline visit to collection start date,,numeric,days,,,,,
Sleep Monitoring/Actigraphy,sawa120,Average sleep duration per nap on weekdays from actigraphy,Sleep duration is the interval between sleep onset and sleep offset time while asleep.,numeric,minutes,,PnpDurSp_ib_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa121,Average sleep duration per nap in nap of any sleep recorded on weekdays from actigraphy,,numeric,minutes,,PnpDurSp_ib_w5_npgt0_f2,,,
Sleep Monitoring/Actigraphy,sawa122,Average sleep duration per nap in naps of at least 15 minutes in length on weekdays from actigraphy,,numeric,minutes,,PnpDurSp_ib_w5_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa123,Average daily sleep duration in naps on weekdays from actigraphy,,numeric,minutes per day,,PdyDurSp_in_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa124,Average daily sleep duration in naps of at least 15 minutes in length on weekdays from actigraphy,,numeric,minutes per day,,PdyDurSp_in_w5_npge15_f2,,,
Sleep Monitoring/Actigraphy,sawa125,Average start time of in-bed or rest interval in main sleep on weekdays from actigraphy,This variable is similar to sawa39; however sawa39 is calculated based on data generated by Actiware software before data optimization. ,time,,,AvgBptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa126,Standard deviation start time of in-bed or rest interval in main sleep on weekdays from actigraphy,,time,,,StdBptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa127,Average daily sleep onset time on weekdays from actigraphy,"This variable is similar to variable SAWA43; however, SAWA43 is calculated based on data generated by Actiware software before data optimization",time,,,AvgBptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa43,Average daily sleep onset time on weekdays from actigraphy,"This variable is similar to variable SAWA127; however, SAWA43 is calculated based on data generated by Actiware software before data optimization",time,,,AvgBptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa128,Standard deviation of the daily sleep onset time on weekdays from actigraphy,,time,,,StdBptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa129,Average daily sleep offset time on weekdays from actigraphy,,time,,,AvgEptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy/Administrative,sawa13,Data collection start time,,time,,,,,,
Sleep Monitoring/Actigraphy,sawa130,Standard deviation of daily sleep offset time on weekdays from actigraphy,,time,,,StdEptSp_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa131,Average daily end time of in-bed or rest interval in main sleep on weekdays from actigraphy,,time,,,AvgEptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa132,Standard deviation pf daily end time of in-bed or rest interval in main sleep on weekdays from actigraphy,,time,,,StdEptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa133,Average daily mid-point of in-bed or rest interval in main sleep on weekdays from actigraphy,,time,,,AvgMptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa134,Standard deviation of the daily mid-point of in-bed or rest interval in main sleep on weekdays from actigraphy,,time,,,StdMptRs_im_w5_f2,,,
Sleep Monitoring/Actigraphy,sawa135,Average daily mid-point for sleep period on weekdays from actigraphy,Sleep period  is the interval between sleep onset and sleep offset time.,time,,,AvgMptSp_im_w5_f2,,,
