,folder,id,display_name,display_name.new,description,description.new,type,units,domain,labels,calculation,commonly_used,folder.new,nsrr_label
921,General Health/Quality of Life,stai10,10-Item State Trait Anxiety Inventory,10-Item State Trait Anxiety Inventory,"This variable is the sum of (WBEA11-WBEA20), where positively worded items (WBEA12, WBEA17, WBEA19) are reverse coded, and 1 is added to all responses (converting from 0-3 to 1-4 scale to match the standardized instrument scoring). For participants with 1 or 2 missing items, STAI10 is equal to the weighted average of the nonmissing items*10.","This variable is the sum of (WBEA11-WBEA20), where positively worded items (WBEA12, WBEA17, WBEA19) are reverse coded, and 1 is added to all responses (converting from 0-3 to 1-4 scale to match the standardized instrument scoring). For participants with 1 or 2 missing items, STAI10 is equal to the weighted average of the nonmissing items*10.",numeric,,,,NA,NA,NA,NA
922,General Health/Quality of Life,stai10_sueno,10-Item State Trait Anxiety Inventory,10-Item State Trait Anxiety Inventory,"This variable is the sum of (WBEA11-WBEA20), where positively worded items (WBEA12, WBEA17, WBEA19) are reverse coded, and 1 is added to all responses (converting from 0-3 to 1-4 scale to match the standardized instrument scoring). For participants with 1 or 2 missing items, STAI10 is equal to the weighted average of the nonmissing items*10.","This variable is the sum of (WBEA11-WBEA20), where positively worded items (WBEA12, WBEA17, WBEA19) are reverse coded, and 1 is added to all responses (converting from 0-3 to 1-4 scale to match the standardized instrument scoring). For participants with 1 or 2 missing items, STAI10 is equal to the weighted average of the nonmissing items*10.",numeric,,,,NA,NA,NA,NA
517,Incident Outcomes,cdcr_sueno,"Cerebrovascular Disease and Carotid Revascularization, self-reported at the Sueno clinic visit","Cerebrovascular Disease and Carotid Revascularization, self-reported at the Sueno clinic visit","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.",choices,,noyes01,,NA,NA,NA,NA
536,Incident Outcomes,diabetes_self_sueno,"Diabetes - self report only, collected during the sueno clinic visit","Diabetes - self report only, collected during the sueno clinic visit",This variable indicates a self-report of diabetes.,This variable indicates a self-report of diabetes.,choices,,noyes01,,NA,NA,NA,NA
537,Incident Outcomes,diabetes_sueno,Diabetes (at Sueno visit) derived from SOL diagnosis and Sueno diabetes mellitus variables,Diabetes (at Sueno visit) derived from SOL diagnosis and Sueno diabetes mellitus variables,,,choices,,noyes01,,NA,NA,NA,NA
558,Incident Outcomes,hypertension_sueno,Hypertension at the Sueno visit as derived from the SOL diagnosis and Sueno hypertension variables,Hypertension at the Sueno visit as derived from the SOL diagnosis and Sueno hypertension variables,Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,choices,,noyes01,,NA,NA,NA,NA
584,Lifestyle and Behavioral Health,ahei1,"Vegetables without potato, score","Vegetables without potato, score",,,numeric,,,,NA,NA,NA,NA
585,Lifestyle and Behavioral Health,ahei10,"Sodium, score","Sodium, score",,,numeric,,,,NA,NA,NA,NA
586,Lifestyle and Behavioral Health,ahei11,"Alcohol, score","Alcohol, score",,,numeric,,,,NA,NA,NA,NA
587,Lifestyle and Behavioral Health,ahei2,"Whole fruit, score","Whole fruit, score",,,numeric,,,,NA,NA,NA,NA
588,Lifestyle and Behavioral Health,ahei2010,Alternative Healthy Eating Index 2010,Alternative Healthy Eating Index 2010,,,numeric,,,,NA,NA,NA,NA
589,Lifestyle and Behavioral Health,ahei3,"Whole grains, score","Whole grains, score",,,numeric,,,,NA,NA,NA,NA
590,Lifestyle and Behavioral Health,ahei4,"Sweetened bev & fruit juice, score","Sweetened bev & fruit juice, score",,,numeric,,,,NA,NA,NA,NA
591,Lifestyle and Behavioral Health,ahei5,"Nuts & legumes, score","Nuts & legumes, score",,,numeric,,,,NA,NA,NA,NA
592,Lifestyle and Behavioral Health,ahei6,"Red/processed meat, score","Red/processed meat, score",,,numeric,,,,NA,NA,NA,NA
593,Lifestyle and Behavioral Health,ahei7,"Trans Fat, score","Trans Fat, score",,,numeric,,,,NA,NA,NA,NA
594,Lifestyle and Behavioral Health,ahei8,"EPA+DHA, score","EPA+DHA, score",,,numeric,,,,NA,NA,NA,NA
595,Lifestyle and Behavioral Health,ahei9,"PUFA, score","PUFA, score",,,numeric,,,,NA,NA,NA,NA
513,Lifestyle and Behavioral Health,alcohol_use,Alcohol Use,Alcohol Use,,,choices,,never_current,,NA,NA,NA,NA
514,Lifestyle and Behavioral Health,alcohol_use_disorder,Alcohol Use Disorder Risk,Alcohol Use Disorder Risk,"Based on gender-specific cutoffs for weekly alcohol use provided by the National Institute for Alcohol Abuse and Alcoholism, this variable provides a risk level for developing an alcohol use disorder (craving, loss of control, physical dependence, tolerance, etc.)","Based on gender-specific cutoffs for weekly alcohol use provided by the National Institute for Alcohol Abuse and Alcoholism, this variable provides a risk level for developing an alcohol use disorder (craving, loss of control, physical dependence, tolerance, etc.)",choices,,alcohol_risk,,NA,NA,NA,NA
515,Lifestyle and Behavioral Health,alcohol_use_level,Alcohol Use Drinking Level,Alcohol Use Drinking Level,"Using the weekly alcohol use cutoffs from alcohol_use_disorder, this variable combines never users and former users into a group called 'no current use'. Definitions of 'low level use' and 'high level use' correspond to those of 'low risk drinker' and 'at-risk drinker' from alcohol_use_disorder.","Using the weekly alcohol use cutoffs from alcohol_use_disorder, this variable combines never users and former users into a group called 'no current use'. Definitions of 'low level use' and 'high level use' correspond to those of 'low risk drinker' and 'at-risk drinker' from alcohol_use_disorder.",choices,,alcohol_use,,NA,NA,NA,NA
596,Lifestyle and Behavioral Health,caffeine_intake,Cups of caffeinated beverages on a typical day,Cups of caffeinated beverages on a typical day,,,numeric,cups,,,NA,NA,NA,NA
520,Lifestyle and Behavioral Health,cigarette_pack_years,Cigarette Pack Years,Cigarette Pack Years,This variable calculates the cigarette pack years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,This variable calculates the cigarette pack years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,packs,,,NA,NA,NA,NA
521,Lifestyle and Behavioral Health,cigarette_pack_years_c3,"Cigarette Pack Years (3-level, cutoff=10)","Cigarette Pack Years (3-level, cutoff=10)",This variable groups cigaratte use into 3 categories,This variable groups cigaratte use into 3 categories,choices,,years,,NA,NA,NA,NA
522,Lifestyle and Behavioral Health,cigarette_use,Cigarette Use,Cigarette Use,,,choices,,never_current,,NA,NA,NA,NA
523,Lifestyle and Behavioral Health,cigarettes_year,Adjusted Cigarettes per Year,Adjusted Cigarettes per Year,This variable calculates the cigarette years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,This variable calculates the cigarette years as the number of exposure years multiplied by the average number of cigarettes smoked per day.,numeric,cigarettes,,,NA,NA,NA,NA
525,Lifestyle and Behavioral Health,current_smoker,Current Smoker (from CIGARETTE_USE),Current Smoker (from CIGARETTE_USE),This variable is an indicator to denote current smoker status using the variable cigarette_use.,This variable is an indicator to denote current smoker status using the variable cigarette_use.,choices,,noyes01,,NA,NA,NA,NA
597,Lifestyle and Behavioral Health,diet_score_jama,Diet Score from 1st JAMA paper,Diet Score from 1st JAMA paper,,,numeric,,,,NA,NA,NA,NA
598,Lifestyle and Behavioral Health,diet_score_jama_c2,Categorized Diet Score JAMA,Categorized Diet Score JAMA,,,choices,,jama_diet_score,,NA,NA,NA,NA
538,Lifestyle and Behavioral Health,dm_aware,Diabetes awareness at baseline,Diabetes awareness at baseline,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,choices,,aware,,NA,NA,NA,NA
539,Lifestyle and Behavioral Health,dm_aware_sueno,Diabetes awareness at the Sueno visit,Diabetes awareness at the Sueno visit,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,This variable describes the awareness of diabetes. Defined only for self-reported diabetics.,choices,,aware,,NA,NA,NA,NA
545,Lifestyle and Behavioral Health,exposure_year,Adjusted Years Smoked,Adjusted Years Smoked,This variable calculates the years a participant smoked cigarettes. This is calculated using the difference from the age the participant began smoking to either the participant's age at baseline examination or the age that the participant quit smoking (if applicable).,This variable calculates the years a participant smoked cigarettes. This is calculated using the difference from the age the participant began smoking to either the participant's age at baseline examination or the age that the participant quit smoking (if applicable).,numeric,years,,,NA,NA,NA,NA
610,Lifestyle and Behavioral Health,gpaq_level,"Physical activity level (low, mod, high)","Physical activity level (low, mod, high)","This variable assigns a value of 1 assigned to those with high total physical activity levels, a value of 2 to those with moderate total physical activity levels and a value of 3 to those with low total physical activity levels.","This variable assigns a value of 1 assigned to those with high total physical activity levels, a value of 2 to those with moderate total physical activity levels and a value of 3 to those with low total physical activity levels.",choices,,active_level,,NA,NA,NA,NA
611,Lifestyle and Behavioral Health,gpaq_mod_week,GPAQ - Total physical (moderate) activity (min/week),GPAQ - Total physical (moderate) activity (min/week),This variable that finds the average amount of time spent per week doing moderate physical activity.,This variable that finds the average amount of time spent per week doing moderate physical activity.,numeric,,,,NA,NA,NA,NA
612,Lifestyle and Behavioral Health,gpaq_mv_week,GPAQ - Total physical activity (min/week),GPAQ - Total physical activity (min/week),This variable that finds the average amount of time spent per week doing any physical activity.,This variable that finds the average amount of time spent per week doing any physical activity.,numeric,,,,NA,NA,NA,NA
613,Lifestyle and Behavioral Health,gpaq_pag2008,Activity level per 2008 PA guidelines (categorical - 4 levels),Activity level per 2008 PA guidelines (categorical - 4 levels),This variable that contains the level of physical activity per the 2008 PA guidelines.,This variable that contains the level of physical activity per the 2008 PA guidelines.,choices,,active_level4,,NA,NA,NA,NA
614,Lifestyle and Behavioral Health,gpaq_pag2008yn,Meets 2008 activity level guidelines,Meets 2008 activity level guidelines,This variable determines whether or not high or medium activity level has been met based on variable gpaq_pag2008 (all counts).,This variable determines whether or not high or medium activity level has been met based on variable gpaq_pag2008 (all counts).,choices,,noyes01,,NA,NA,NA,NA
615,Lifestyle and Behavioral Health,gpaq_rec,Recreational physical activity (min/day),Recreational physical activity (min/day),This variable finds the total time per day doing some form of recreational physical activity.,This variable finds the total time per day doing some form of recreational physical activity.,numeric,,,,NA,NA,NA,NA
616,Lifestyle and Behavioral Health,gpaq_rec_mod,Recreational physical (moderate) activity (min/day),Recreational physical (moderate) activity (min/day),This variable calculates the average amount of time spent per day doing a moderate recreational physical activity.,This variable calculates the average amount of time spent per day doing a moderate recreational physical activity.,numeric,,,,NA,NA,NA,NA
617,Lifestyle and Behavioral Health,gpaq_rec_vig,Recreational physical (vigorous) activity (min/day),Recreational physical (vigorous) activity (min/day),This variable calculates the average amount of time spent per day doing a vigorous recreational physical activity.,This variable calculates the average amount of time spent per day doing a vigorous recreational physical activity.,numeric,,,,NA,NA,NA,NA
618,Lifestyle and Behavioral Health,gpaq_total,Total physical activity (min/day),Total physical activity (min/day),This variable shows the average amount of time spent doing some form of physical activity in a week.,This variable shows the average amount of time spent doing some form of physical activity in a week.,numeric,,,,NA,NA,NA,NA
619,Lifestyle and Behavioral Health,gpaq_total_met,Total physical activity (MET-min/day),Total physical activity (MET-min/day),This variable calculates the total amount of time spent doing some form of physical activity in a week.,This variable calculates the total amount of time spent doing some form of physical activity in a week.,numeric,,,,NA,NA,NA,NA
620,Lifestyle and Behavioral Health,gpaq_total_mod,Total physical (moderate) activity (min/day),Total physical (moderate) activity (min/day),This variable finds the average amount of time spent per day doing moderate physical activity.,This variable finds the average amount of time spent per day doing moderate physical activity.,numeric,,,,NA,NA,NA,NA
621,Lifestyle and Behavioral Health,gpaq_total_vig,Total physical (vigorous) activity (min/day),Total physical (vigorous) activity (min/day),This variable finds the average amount of time spent per day doing vigorous physical activity.,This variable finds the average amount of time spent per day doing vigorous physical activity.,numeric,,,,NA,NA,NA,NA
622,Lifestyle and Behavioral Health,gpaq_trsport,Transportation-related physical activity (min/day),Transportation-related physical activity (min/day),This variable calculates the average amount of time spent per day walking or biking to and from a place.,This variable calculates the average amount of time spent per day walking or biking to and from a place.,numeric,,,,NA,NA,NA,NA
623,Lifestyle and Behavioral Health,gpaq_vig_week,GPAQ - Total physical (vigorous) activity (min/week),GPAQ - Total physical (vigorous) activity (min/week),This variable finds the average amount of time spent per week doing vigorous physical activity.,This variable finds the average amount of time spent per week doing vigorous physical activity.,numeric,,,,NA,NA,NA,NA
624,Lifestyle and Behavioral Health,gpaq_work,Work-related physical activity (min/day),Work-related physical activity (min/day),This variable finds the total time per day doing some form of work-related physical activity.,This variable finds the total time per day doing some form of work-related physical activity.,numeric,,,,NA,NA,NA,NA
625,Lifestyle and Behavioral Health,gpaq_work_mod,Work-related (moderate) physical activity (min/day),Work-related (moderate) physical activity (min/day),This variable calculates the average amount of time spent per day doing a moderate work-related physical activity.,This variable calculates the average amount of time spent per day doing a moderate work-related physical activity.,numeric,,,,NA,NA,NA,NA
626,Lifestyle and Behavioral Health,gpaq_work_vig,Work-related (vigorous) physical activity (min/day),Work-related (vigorous) physical activity (min/day),This variable calculates the average amount of time spent per day doing a vigorous work-related physical activity.,This variable calculates the average amount of time spent per day doing a vigorous work-related physical activity.,numeric,,,,NA,NA,NA,NA
552,Lifestyle and Behavioral Health,hypert_awareness,Awareness of Hypertension - NHANES,Awareness of Hypertension - NHANES,This variable is defined by the self-report of doctor's diagnosis of hypertension for those who were defined as having hypertension using the NHANES definition only.,This variable is defined by the self-report of doctor's diagnosis of hypertension for those who were defined as having hypertension using the NHANES definition only.,choices,,noyes01,,NA,NA,NA,NA
599,Lifestyle and Behavioral Health,pred_alc,"Alcohol - NCI predicted intake, servings/d (ALCOHOL)","Alcohol - NCI predicted intake, servings/d (ALCOHOL)",,,numeric,,,,NA,NA,NA,NA
600,Lifestyle and Behavioral Health,pred_epadha,"EPA and DHA - NCI predicted intake, mg/d (EPADHA)","EPA and DHA - NCI predicted intake, mg/d (EPADHA)",,,numeric,,,,NA,NA,NA,NA
601,Lifestyle and Behavioral Health,pred_fruit_whl,"Whole Fruit - NCI predicted intake, servings/d (FRUIT_ALL_WOJUICE)","Whole Fruit - NCI predicted intake, servings/d (FRUIT_ALL_WOJUICE)",,,numeric,,,,NA,NA,NA,NA
602,Lifestyle and Behavioral Health,pred_grain_whl,"Whole Grain - NCI predicted intake, servings/d (GRAIN_WHL)","Whole Grain - NCI predicted intake, servings/d (GRAIN_WHL)",,,numeric,,,,NA,NA,NA,NA
603,Lifestyle and Behavioral Health,pred_nutleg,"Nuts and Legumes - NCI predicted intake, servings/d (NUTLEG)","Nuts and Legumes - NCI predicted intake, servings/d (NUTLEG)",,,numeric,,,,NA,NA,NA,NA
604,Lifestyle and Behavioral Health,pred_pctpufa,"PUFA exclude EPA & DHA - NCI predicted intake, % Calories (PCTPUFA_NOEPADHA)","PUFA exclude EPA & DHA - NCI predicted intake, % Calories (PCTPUFA_NOEPADHA)",,,numeric,,,,NA,NA,NA,NA
605,Lifestyle and Behavioral Health,pred_redprocess,"Red/Processed Meat - NCI predicted intake, servings/d (MEAT_REDPROCESSED)","Red/Processed Meat - NCI predicted intake, servings/d (MEAT_REDPROCESSED)",,,numeric,,,,NA,NA,NA,NA
606,Lifestyle and Behavioral Health,pred_sodium,"Sodium - NCI predicted intake, mg/d (DTIA67)","Sodium - NCI predicted intake, mg/d (DTIA67)",,,numeric,,,,NA,NA,NA,NA
607,Lifestyle and Behavioral Health,pred_swebj,"Sugar-sweentened beverages and fruit juice - NCI predicted intake, servings/d (SUGAR_SWTBFJ)","Sugar-sweentened beverages and fruit juice - NCI predicted intake, servings/d (SUGAR_SWTBFJ)",,,numeric,,,,NA,NA,NA,NA
608,Lifestyle and Behavioral Health,pred_transfat,"Trans Fat - NCI predicted intake, % Calories (PCTRANSFAT)","Trans Fat - NCI predicted intake, % Calories (PCTRANSFAT)",,,numeric,,,,NA,NA,NA,NA
609,Lifestyle and Behavioral Health,pred_veg_wopot,"Vegetable without potatoes - NCI predicted intake, servings/d (VEG_ALL_WOPOTATO)","Vegetable without potatoes - NCI predicted intake, servings/d (VEG_ALL_WOPOTATO)",,,numeric,,,,NA,NA,NA,NA
569,Lifestyle and Behavioral Health,totaldrinks_per_week,Total Weekly Alcohol Consumption,Total Weekly Alcohol Consumption,This variable determines the total alcohol intake as the numbers of drinks per week only for current drinkers.,This variable determines the total alcohol intake as the numbers of drinks per week only for current drinkers.,numeric,drinks,,,NA,NA,NA,NA
516,Medical History,cdcr,"Cerebrovascular Disease and Carotid Revascularization, self-report","Cerebrovascular Disease and Carotid Revascularization, self-report","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.","This variable checks for medical history of stroke, mini-stroke or TIA, or balloon angioplasty or surgery to the arteries in the neck.",choices,,noyes01,,NA,NA,NA,NA
518,Medical History,chd_self,Self-reported CHD,Self-reported CHD,This variable combines the self-reports of coronary revascularization or heart attack.,This variable combines the self-reports of coronary revascularization or heart attack.,choices,,noyes01,,NA,NA,NA,NA
519,Medical History,chd_self_sueno,Self-reported CHD at the Sueno visit,Self-reported CHD at the Sueno visit,This variable combines the self-reports of coronary revascularization or heart attack.,This variable combines the self-reports of coronary revascularization or heart attack.,choices,,noyes01,,NA,NA,NA,NA
527,Medical History,diab_diag,Diabetes Diagnosis,Diabetes Diagnosis,"This variable describes the diagnoses of diabetes and whether it was diagnosed before baseline, not diagnosed before baseline but possibly detected from lab data, or as non-diabetic.","This variable describes the diagnoses of diabetes and whether it was diagnosed before baseline, not diagnosed before baseline but possibly detected from lab data, or as non-diabetic.",choices,,diab_diag,,NA,NA,NA,NA
533,Medical History,diabetes_c4,4-level grouped diabetes (none/pre/treated/untreated),4-level grouped diabetes (none/pre/treated/untreated),This variable assesses diabetes using variable diabetes3 and medication use based on variables muea33c and med_antidaib.,This variable assesses diabetes using variable diabetes3 and medication use based on variables muea33c and med_antidaib.,choices,,diabetes2,,NA,NA,NA,NA
534,Medical History,diabetes_lab,3-level grouped Diabetes - Lab,3-level grouped Diabetes - Lab,This variable describes the stages of diabetes.,This variable describes the stages of diabetes.,choices,,diabetes3,,NA,NA,NA,NA
535,Medical History,diabetes_self,Diabetes - self report only,Diabetes - self report only,This variable indicates a self-report of diabetes.,This variable indicates a self-report of diabetes.,choices,,noyes01,,NA,NA,NA,NA
529,Medical History,diabetes1,3-level grouped Diabetes ver.1,3-level grouped Diabetes ver.1,This variable describes the stages of diabetes.,This variable describes the stages of diabetes.,choices,,diabetes3,,NA,NA,NA,NA
530,Medical History,diabetes2,3-level grouped Diabetes - ADA,3-level grouped Diabetes - ADA,This variable describes the stages of diabetes based on American Diabetes Association definition.,This variable describes the stages of diabetes based on American Diabetes Association definition.,choices,,diabetes3,,NA,NA,NA,NA
531,Medical History,diabetes2_indicator,Diabetes Indicator - ADA,Diabetes Indicator - ADA,This variable is based on the Diabetes variable (version 2) stages of diabetes based on American Diabetes Association definition.,This variable is based on the Diabetes variable (version 2) stages of diabetes based on American Diabetes Association definition.,choices,,noyes01,,NA,NA,NA,NA
532,Medical History,diabetes3,3-level grouped Diabetes - includes self-report,3-level grouped Diabetes - includes self-report,This variable describes the stages of diabetes based on American Diabetes Association definition with an additional self-report criterion.,This variable describes the stages of diabetes based on American Diabetes Association definition with an additional self-report criterion.,choices,,diabetes,,NA,NA,NA,NA
540,Medical History,dm_control,Diabetes controlled: DM Classified at Baseline and A1C < 7%,Diabetes controlled: DM Classified at Baseline and A1C < 7%,This variable indicates controlled diabetes. Defined only for diabetics.,This variable indicates controlled diabetes. Defined only for diabetics.,choices,,diabetes4,,NA,NA,NA,NA
541,Medical History,doctor_visit,Doctor/HCP number of visits in past 12 months,Doctor/HCP number of visits in past 12 months,This variable defines grouped categories for the number of times a participant has visited the doctor in the last 12 months.,This variable defines grouped categories for the number of times a participant has visited the doctor in the last 12 months.,choices,,visit_range,,NA,NA,NA,NA
553,Medical History,hypert_control,Control of Hypertension - NHANES,Control of Hypertension - NHANES,This variable is defined for participants whose blood pressure are below the cutoff of 140/90 (both systolic and diastolic must be less than the cutoff values) for those who were defined as having hypertension using the NHANES definition only and also indicated whether or not they were receiving treatment for hypertension.,This variable is defined for participants whose blood pressure are below the cutoff of 140/90 (both systolic and diastolic must be less than the cutoff values) for those who were defined as having hypertension using the NHANES definition only and also indicated whether or not they were receiving treatment for hypertension.,choices,,noyes01,,NA,NA,NA,NA
554,Medical History,hypert_treatment,Treatment of Hypertension - NHANES,Treatment of Hypertension - NHANES,This variable is defined by the participant's self-report awareness of hypertension and self-report use of antihypertensive medications for those who were defined as having hypertension using the NHANES definition only.,This variable is defined by the participant's self-report awareness of hypertension and self-report use of antihypertensive medications for those who were defined as having hypertension using the NHANES definition only.,choices,,noyes01,,NA,NA,NA,NA
555,Medical History,hypertension,Hypertension (BP>=140/90 and Med Use),Hypertension (BP>=140/90 and Med Use),Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,Hypertension is defined here if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant is currently taking antihypertensive medications.,choices,,noyes01,,NA,NA,NA,NA
557,Medical History,hypertension_c4,4-level grouped hypertension (none/pre/treated/untreated),4-level grouped hypertension (none/pre/treated/untreated),This variable classifies participants into 4 categories based on hypertension and hypertensive.,This variable classifies participants into 4 categories based on hypertension and hypertensive.,choices,,hyper_level,,NA,NA,NA,NA
556,Medical History,hypertension2,Hypertension using NHANES definition,Hypertension using NHANES definition,Hypertension is defined here using the following NHANES definition: if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant self-reported as currently taking antihypertensive medications.,Hypertension is defined here using the following NHANES definition: if the systolic or diastolic blood pressure is greater than or equal to 140/90 or if the participant self-reported as currently taking antihypertensive medications.,choices,,noyes01,,NA,NA,NA,NA
559,Medical History,mets_idf,Metabolic Syndrome - IDF definition,Metabolic Syndrome - IDF definition,"The International Diabetes Federation (IDF) definition emphasizes central obesity because it is 'independently' associated with each of the other metabolic syndrome components, as well as insulin resistance.","The International Diabetes Federation (IDF) definition emphasizes central obesity because it is 'independently' associated with each of the other metabolic syndrome components, as well as insulin resistance.",choices,,noyes01,,NA,NA,NA,NA
560,Medical History,mets_ncep,Metabolic Syndrome - NCEP ATP III,Metabolic Syndrome - NCEP ATP III,The following definition of metabolic syndrome is based on the updated Adult Treat Panel III (ATP III) of the National Cholesterol Education Program (NCEP) guidelines.,The following definition of metabolic syndrome is based on the updated Adult Treat Panel III (ATP III) of the National Cholesterol Education Program (NCEP) guidelines.,choices,,noyes01,,NA,NA,NA,NA
561,Medical History,mets_ncep2,Metabolic Syndrome w/Self-Reported Meds - NCEP ATP III,Metabolic Syndrome w/Self-Reported Meds - NCEP ATP III,This variable incorporates the original variable mets_ncep definition with changes to include self-reported medication use instead of scanned/transcribed medication use.,This variable incorporates the original variable mets_ncep definition with changes to include self-reported medication use instead of scanned/transcribed medication use.,choices,,noyes01,,NA,NA,NA,NA
669,Medical History,mhea1,HBP/Hypertension - Self (MHEA1),HBP/Hypertension - Self (MHEA1),,,choices,,noyes01,,NA,NA,NA,NA
670,Medical History,mhea10,Stroke - Self (MHEA10),Stroke - Self (MHEA10),,,choices,,noyes01,,NA,NA,NA,NA
671,Family History,mhea10a,Stroke - Mother (MHEA10A),Stroke - Mother (MHEA10A),,,choices,,noyes01,,NA,NA,NA,NA
672,Family History,mhea10b,Stroke - Father (MHEA10B),Stroke - Father (MHEA10B),,,choices,,noyes01,,NA,NA,NA,NA
673,Family History,mhea10c,Stroke - Sibling (MHEA10C),Stroke - Sibling (MHEA10C),,,choices,,noyes01,,NA,NA,NA,NA
674,Medical History,mhea11,Mini-Stroke/TIA - Self (MHEA11),Mini-Stroke/TIA - Self (MHEA11),,,choices,,noyes01,,NA,NA,NA,NA
675,Medical History,mhea12,Angiop/surgery art of neck (MHEA12),Angiop/surgery art of neck (MHEA12),,,choices,,noyes01,,NA,NA,NA,NA
676,Medical History,mhea13,Aortic Aneurism/AAA - Self (MHEA13),Aortic Aneurism/AAA - Self (MHEA13),,,choices,,noyes01,,NA,NA,NA,NA
677,Family History,mhea13a,Aortic Aneurism/AAA - Mother (MHEA13A),Aortic Aneurism/AAA - Mother (MHEA13A),,,choices,,noyes01,,NA,NA,NA,NA
678,Family History,mhea13b,Aortic Aneurism/AAA - Father (MHEA13B),Aortic Aneurism/AAA - Father (MHEA13B),,,choices,,noyes01,,NA,NA,NA,NA
679,Family History,mhea13c,Aortic Aneurism/AAA - Sibling (MHEA13C),Aortic Aneurism/AAA - Sibling (MHEA13C),,,choices,,noyes01,,NA,NA,NA,NA
680,Medical History,mhea14,PAD - Self (MHEA14),PAD - Self (MHEA14),,,choices,,noyes01,,NA,NA,NA,NA
681,Medical History,mhea15,Med Procedure to treat PAD (MHEA15),Med Procedure to treat PAD (MHEA15),,,choices,,noyes01,,NA,NA,NA,NA
682,Family History,mhea15a,PAD - Mother (MHEA15A),PAD - Mother (MHEA15A),,,choices,,noyes01,,NA,NA,NA,NA
683,Family History,mhea15b,PAD - Father (MHEA15B),PAD - Father (MHEA15B),,,choices,,noyes01,,NA,NA,NA,NA
684,Family History,mhea15c,PAD - Sibling (MHEA15C),PAD - Sibling (MHEA15C),,,choices,,noyes01,,NA,NA,NA,NA
685,Medical History,mhea16,Diabetes - Self (MHEA16),Diabetes - Self (MHEA16),,,choices,,noyes01,,NA,NA,NA,NA
686,Medical History,mhea16a,Diabetes - Age Diagnosed Self (MHEA16A),Diabetes - Age Diagnosed Self (MHEA16A),,,integer,years,,,NA,NA,NA,NA
687,Medical History,mhea16b,Diabetes - Pregnancy Self (MHEA16B),Diabetes - Pregnancy Self (MHEA16B),,,choices,,noyes01,,NA,NA,NA,NA
688,Medical History,mhea16c,Diabetes - Insulin TrtSelf (MHEA16C),Diabetes - Insulin TrtSelf (MHEA16C),,,choices,,noyes01,,NA,NA,NA,NA
689,Medical History,mhea16d,Diabetes - Insulin Trt for Diab Self (MHEA16D),Diabetes - Insulin Trt for Diab Self (MHEA16D),,,choices,,noyes01,,NA,NA,NA,NA
690,Family History,mhea16e,Diabetes - Mother (MHEA16E),Diabetes - Mother (MHEA16E),,,choices,,noyes01,,NA,NA,NA,NA
691,Family History,mhea16f,Diabetes - Father (MHEA16F),Diabetes - Father (MHEA16F),,,choices,,noyes01,,NA,NA,NA,NA
692,Family History,mhea16g,Diabetese - Sibling (MHEA16G),Diabetese - Sibling (MHEA16G),,,choices,,noyes01,,NA,NA,NA,NA
693,Medical History,mhea17,Kidney Problems - Self (MHEA17),Kidney Problems - Self (MHEA17),,,choices,,noyes01,,NA,NA,NA,NA
694,Medical History,mhea18,Liver Disease - Self (MHEA18),Liver Disease - Self (MHEA18),,,choices,,noyes01,,NA,NA,NA,NA
695,Medical History,mhea18a,Hepatitis - Self (MHEA18A),Hepatitis - Self (MHEA18A),,,choices,,noyes01,,NA,NA,NA,NA
696,Medical History,mhea18b,Hepatitis Type - Self (MHEA18B),Hepatitis Type - Self (MHEA18B),,,choices,,hepatitis_type,,NA,NA,NA,NA
697,Medical History,mhea18c,Cirrhosis - Self (MHEA18C),Cirrhosis - Self (MHEA18C),,,choices,,noyes01,,NA,NA,NA,NA
698,Medical History,mhea18d,Other Liver Disease - Self (MHEA18D),Other Liver Disease - Self (MHEA18D),,,choices,,noyes01,,NA,NA,NA,NA
699,Medical History,mhea19,Heartburn/similar chest pain (MHEA19),Heartburn/similar chest pain (MHEA19),,,choices,,noyes01,,NA,NA,NA,NA
700,Medical History,mhea19a,How often Heartburn/similar chest pain (MHEA19A),How often Heartburn/similar chest pain (MHEA19A),,,choices,,monthly_freq,,NA,NA,NA,NA
